Time,NS,UD,EW
33.272,-73101.0,65938.19349563122,-93170.0
33.276,-29145.0,-22156.668001532555,-23805.0
33.28,27526.0,-129835.6768348217,53989.0
33.284,46368.0,-195760.34972429276,227666.0
33.288000000000004,2385.0,-177713.94599545002,450072.0
33.292,-82958.0,-81549.08536815643,536199.0
33.296,-152933.0,36204.577801942825,329222.0
33.3,-153177.0,97645.81768870354,-118606.0
33.304,-73715.0,55059.51377916336,-544429.0
33.308,35180.0,-69060.55214488506,-680218.0
33.312,95876.0,-192154.85474824905,-476121.0
33.316,68673.0,-232713.96910750866,-122937.0
33.32,-11699.0,-172713.1244636774,138346.0
33.324,-72097.0,-68403.4506855011,217938.0
33.328,-71163.0,-7202.877588391304,202204.0
33.332,-26897.0,-48700.32201516628,211373.0
33.336,15368.0,-183325.89892566204,252359.0
33.34,27324.0,-330160.5831987858,216267.0
33.344,15042.0,-385927.6753669977,22472.0
33.348,4470.0,-298315.0488228798,-250659.0
33.352000000000004,9426.0,-101975.11578118801,-413386.0
33.356,14410.0,110786.94550263882,-355692.0
33.36,-1758.0,249503.85783720016,-164891.0
33.364,-28204.0,270136.30283761024,-29992.0
33.368,-25742.0,189465.15549612045,-39210.0
33.372,25292.0,69035.31368005276,-91330.0
33.376,92976.0,-24389.370765447617,-11536.0
33.38,118629.0,-57257.96434080601,247872.0
33.384,71907.0,-39772.21508073807,524930.0
33.388,-19037.0,-7765.334804654121,577691.0
33.392,-89005.0,4046.2667368650436,312774.0
33.396,-91547.0,-16861.09725546837,-114133.0
33.4,-41774.0,-50595.00962507725,-434624.0
33.404,-868.0,-54946.842061161995,-500052.0
33.408,-8788.0,-426.34978091716766,-371348.0
33.412,-36005.0,93096.5844026804,-201840.0
33.416000000000004,-15079.0,157031.92543911934,-75997.0
33.42,79837.0,121734.1296236515,23237.0
33.424,196908.0,-24802.19994020462,123994.0
33.428,251981.0,-214909.13354206085,186447.0
33.432,203336.0,-335599.4723701477,131974.0
33.436,85101.0,-300874.9502558708,-50237.0
33.44,-23716.0,-114120.22560799122,-242770.0
33.444,-65430.0,129759.06006658077,-279173.0
33.448,-47282.0,308986.41257822514,-104880.0
33.452,-21010.0,354577.89655029774,153729.0
33.456,-22296.0,285245.1295347214,300820.0
33.46,-37788.0,180971.5107063055,250732.0
33.464,-28650.0,119765.52936673164,93168.0
33.468,24686.0,121519.6026725769,-9439.0
33.472,101266.0,141902.36714589596,17861.0
33.476,154617.0,121527.715036273,97197.0
33.480000000000004,148873.0,42698.97562754154,85357.0
33.484,85358.0,-58866.91647386551,-72921.0
33.488,-5471.0,-129123.59157705307,-279637.0
33.492,-95882.0,-137234.15252566338,-372089.0
33.496,-176182.0,-90640.34095025063,-270598.0
33.5,-236674.0,-21647.391836166382,-35622.0
33.504,-249491.0,38055.999472141266,204767.0
33.508,-186055.0,74896.0457636118,360510.0
33.512,-54222.0,89624.49274075031,415507.0
33.516,91273.0,81504.9180546999,389682.0
33.52,180925.0,47175.1976402998,294523.0
33.524,177586.0,-574.1750749349594,134303.0
33.528,101785.0,-24529.08369576931,-58045.0
33.532000000000004,15867.0,12456.083768486977,-207007.0
33.536,-24053.0,110690.49851202965,-239171.0
33.54,-9706.0,221034.8695063591,-150001.0
33.544000000000004,23058.0,269662.1802482605,-15714.0
33.548,36997.0,206651.64867317677,72070.0
33.552,25241.0,48710.2371263504,82126.0
33.556,-300.0,-120032.33599495888,52959.0
33.56,-38543.0,-202797.37454378605,37182.0
33.564,-103402.0,-163037.77869546413,46323.0
33.568,-200237.0,-51011.444294810295,45771.0
33.572,-306503.0,40172.42502307892,-3435.0
33.576,-376420.0,45805.10954940319,-94582.0
33.58,-366321.0,-32140.283590197563,-165928.0
33.584,-266525.0,-138222.05814909935,-153935.0
33.588,-113840.0,-206565.11679375172,-62790.0
33.592,34948.0,-202728.87013924122,29252.0
33.596000000000004,145244.0,-137986.7996019125,39356.0
33.6,216226.0,-49032.928926706314,-47690.0
33.604,256119.0,31313.723866939545,-170391.0
33.608000000000004,258045.0,83585.28865587711,-240921.0
33.612,201170.0,97004.03958296776,-209098.0
33.616,72095.0,71190.49830198288,-91842.0
33.62,-109627.0,21550.043471813202,53752.0
33.624,-284563.0,-25498.961844325066,181319.0
33.628,-382090.0,-46129.604097247124,270658.0
33.632,-365845.0,-32765.836968541145,299678.0
33.636,-253146.0,-1680.1606588363647,227489.0
33.64,-94974.0,15540.584720492363,25909.0
33.644,56684.0,-2001.0497117042542,-267653.0
33.648,167939.0,-45700.55019509792,-531503.0
33.652,224378.0,-88706.89426934719,-610862.0
33.656,221947.0,-112150.72397732735,-423827.0
33.660000000000004,160454.0,-115115.34222137928,-42518.0
33.664,50550.0,-105079.44695556164,338697.0
33.668,-76074.0,-88446.39725732803,538317.0
33.672000000000004,-176177.0,-70068.28799068928,505268.0
33.676,-222803.0,-54982.89701092243,314669.0
33.68,-219928.0,-47655.62984585762,69354.0
33.684,-184325.0,-50416.537623763084,-175686.0
33.688,-118036.0,-60569.61147630215,-399468.0
33.692,-9388.0,-66180.66303277016,-560770.0
33.696,137469.0,-49031.12617921829,-591193.0
33.7,284533.0,-452.4896194934845,-452086.0
33.704,379906.0,63001.51783764362,-188755.0
33.708,394629.0,104609.83123493195,83506.0
33.712,337709.0,95311.25969171524,253922.0
33.716,240090.0,41508.26091170311,285632.0
33.72,129520.0,-14912.327220916748,223696.0
33.724000000000004,17730.0,-28210.29406630993,139700.0
33.728,-93367.0,14630.197239041328,65318.0
33.732,-191858.0,83144.51689505577,-19491.0
33.736000000000004,-244225.0,126423.97721374035,-133537.0
33.74,-215059.0,112915.08891224861,-243722.0
33.744,-104076.0,56187.13233292103,-281763.0
33.748,42463.0,3756.0243912935257,-208522.0
33.752,159189.0,-2766.3160203695297,-51139.0
33.756,198720.0,37289.83178973198,123531.0
33.76,152276.0,81225.49219405651,261778.0
33.764,50090.0,76096.67559063435,341678.0
33.768,-55974.0,3883.118089199066,347121.0
33.772,-119472.0,-99500.84485387802,249071.0
33.776,-117140.0,-171176.28223013878,37810.0
33.78,-47714.0,-170278.5139811039,-224549.0
33.784,74473.0,-103959.94076550007,-406065.0
33.788000000000004,217299.0,-12794.098922491074,-386891.0
33.792,330204.0,61668.386070251465,-158207.0
33.796,360794.0,97691.7877496481,151895.0
33.8,280347.0,96620.0543680191,355927.0
33.804,97982.0,77087.28533530235,335812.0
33.808,-139329.0,62262.391367554665,131492.0
33.812,-354760.0,62094.73585116863,-82319.0
33.816,-463737.0,64738.46504235268,-128960.0
33.82,-411286.0,47761.99194765091,26207.0
33.824,-200470.0,-1916.3205797672272,249105.0
33.828,108281.0,-76562.685816288,356743.0
33.832,415866.0,-146603.93259465694,270549.0
